d1914a1 d1914a2 2I1M18P2I10P2D1P7I18P1D10P1I1P1D5P1I3P4M3D1I
d1a04a2 d1a2oa1 2P1I58P1M14P1D11P2I19P2I1P3I15P1M1I2M9D4I1M2D1I1M
d1a04a2 d1ccwa_ 1I1M8P4I17P1D8P1I2P1I20P4M1I4P1M2P1M3P1I3P1I9P1I1P3I3P1I20P3D8P1D3P1M14D3I
d1a04a2 d1dbwa_ 1I1M25P1D3P1D27P1D4P1I57P1D1P1M15D2I
d1a04a2 d1dcfa_ 5I1M25P1D3P1D13P1D12P4M13P4I33P1D7P1M2P2M1D2P3M1D1M10D2I
d1a04a2 d1dz3a_ 1D59P1M11P1I14P1M12P1D6P2M1P2M27D13I
d1a04a2 d1j56a_ 1I10P1M15P1D3P1D27P3M22P1M1P1D1M1D1M1P1D1M6P3I8P2M11P1D3P1M14D2I
d1a04a2 d1jbea_ 2I1M25P1D33P1M11P1M43P1M2P2D3P1M13D2I
d1a04a2 d1k66a_ 3I2P1I44P10I14P1M12P1I2P1I31P4I17P1M14D5I
d1a04a2 d1k68a_ 27P1M18P7I14P1M12P1I2P1I31P1I1M2I1P1I15P1M14D3I
d1a04a2 d1kgsa2 1D25P1D3P1D28P2M25P1M3P1M3I1M3P3D21P1D3P1M14D2I
d1a04a2 d1mb3a_ 1D25P1D3P1D29P1M12P1I2P1I8P6D33P1M15D1I
d1a04a2 d1ny5a1 2D24P1D3P1D29P1M58P1D3P1M14D18I
d1a04a2 d1p2fa2 23P1D1P1D4P1D12P2D15P1M58P1D6P12D
d1a04a2 d1p6qa_ 4I2M24P1D28P1D3P3M1P1I12P1M1I8P1I35P2D4P1M12D
d1a04a2 d1qkka_ 2D24P1D3P1D14P2M13P1M13P1M46P2M15D20I
d1a04a2 d1r8ja2 2I24P1D5P1D17P2I10P1D1P1D14P1M9P1I1P1M1P1D1P1D1P1D1P2D2P1M1I8P1M1P1D9P2D3P2M4D1I1M2D2I2M1D1I1M1D1I
d1a04a2 d1u0sy_ 1D1M24P1D31P1M15P1M44P1D1P17D
d1a04a2 d1y7pa1 2I1P3I9P1D13P1I2P2I1P5I9P4I11P1M1I7P1M2P3D2P1M9P1I11P1M4D1I2M1D1M1P2D1P1D6P1D1P1M1D1P1D2P1M8P4I3P1I5P9D
d1a04a2 d1yl7a1 3D6P2M25P1D1M17P1M1P1M2D12P2D11P1M12P5I1M5P1M2P2I12P3D4P4M8D9I
d1a04a2 d1zgza1 1D25P1D3P1D28P2M10P1M1D46P1D3P1M14D1I
d1a04a2 d2ayxa1 6I26P1D3P1D26P2M28P1D1M2P1M5P1I22P1D3P1M14D6I
d1a04a2 d2b4aa1 26P1D3P1D16P1I13P1M24P1D1P3D1P1D1P1D2P1M1P1I21P1D1P2M15D
d1a04a2 d2jbaa_ 1D25P1D3P1D28P2M12P1I2P1I9P3I3P1D1M4P2D24P2D3P2M4D1M3D1M3D
d1a04a2 d2pl1a_ 2D24P1D3P1D29P1M58P1D3P1M14D2I
d1a04a2 d2plna_ 1P2I25P1D3P1D25P4D46P1I13P1D2P16D
d1a04a2 d2r25b_ 1M25P1D20P5I13P1M11P1I49P2M15D5I
d1a04a2 d2v0na1 1D25P1D3P1D29P1M12P1I2P1I44P1D3P1M14D17I
d1a04a2 d2v0na2 11I1M24P2D3P1D16P1D12P1M12P1I2P1I46P2M15D21I
d1a04a2 d3a0ua_ 1D25P1D3P1D29P1M13P1M12P1I3P1D1M3P2D22P1D1P17D
d1a04a2 d3bula2 3I2P1I7P4I17P1D4P1M3P1I1P1I19P3M1I2M1I23P1I3P1M11P1I1M5P1D2P1D11P1D2P3I1P2I4P2I3P4M4D5I
d1a04a2 d3c3ma_ 26P1D3P1D29P1M12P1I2P1I14P1I7P1D9P2M30D15I
d1a04a2 d3cfya_ 25P1D4P1D29P1M59P1D2P1M14D9I
d1a04a2 d3cg4a_ 26P1D3P1D29P1M11P1I2P1I11P2M1D1I2M1D2I3M2P1D23P1D2P1M14D3I
d1a04a2 d3eqza_ 1D1M23P2D16P1D1P1D2P1I9P2M38P4I1P1M1P1I18P1D2P1M16D2I
d1a04a2 d3gl9a_ 1D25P1D3P1D29P1M12P1I2P1I44P1D2P16D
d1a04a2 d3hdga_ 1D24P2D32P2M24P1M1P2M29P1D4P15D5I
d1a04a2 d3hdva_ 1P1D24P1D3P1D17P1I12P1M14P1I32P3D2P1D9P1M15D2I
d1a04a2 d3heba_ 2D43P7I1P1M2I13P1M12P1I2P1I31P1M3I1P1I10P1D4P1M14D6I
