    B   E   G   H   I   L   S   T   A   C   D   F   J   K   M   N   O   P   Q   R   U   V   W   X   Y   Z
B  10   0  -2  -6  -5   1   0  -2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
E   0   3  -7 -14 -16  -2  -4  -6   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
G  -2  -7   7  -1  -3  -1   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
H  -6 -14  -1   3   1  -5  -5  -2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
I  -5 -16  -3   1  13  -6  -5  -2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
L   1  -2  -1  -5  -6   3   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
S   0  -4   0  -5  -5   1   5   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
T  -2  -6   2  -2  -2  -1   1   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
A   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
C   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
D   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
F   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
J   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
K   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
M   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
N   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
O   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
P   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
Q   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
R   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
U   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
V   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0
W   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0
X   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0
Y   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
Z   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
